feature,importance
base__ecfp_759,1.037782863609636e-06
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_06,8.044295878719813e-07
base__ecfp_723,7.118053518143288e-07
base__ecfp_1733,4.841347755342112e-07
base__ecfp_1575,3.846127884005349e-07
base__ecfp_366,2.994322709020389e-07
base__ecfp_1025,2.573556481685288e-07
base__ecfp_888,8.075369659725609e-08
base__ecfp_760,7.827661852601165e-08
base__ecfp_701,7.450186739392283e-08
base__ecfp_1005,3.024131686177949e-08
base__ecfp_1859,6.078388077648483e-09
base__ecfp_1471,0.0
base__ecfp_1464,0.0
base__ecfp_1474,0.0
base__ecfp_1441,0.0
base__ecfp_1450,0.0
base__ecfp_1453,0.0
base__ecfp_1451,0.0
base__ecfp_1445,0.0
base__ecfp_1459,0.0
base__ecfp_1475,0.0
base__ecfp_1476,0.0
base__ecfp_1466,0.0
base__ecfp_1468,0.0
base__ecfp_1465,0.0
base__ecfp_1477,0.0
base__ecfp_1458,0.0
base__ecfp_1449,0.0
base__ecfp_1467,0.0
base__ecfp_1456,0.0
base__ecfp_47,0.0
base__ecfp_1446,0.0
base__ecfp_1443,0.0
base__ecfp_1472,0.0
base__ecfp_48,0.0
base__ecfp_1462,0.0
base__ecfp_1463,0.0
base__ecfp_1448,0.0
base__ecfp_1470,0.0
base__ecfp_1447,0.0
base__ecfp_1457,0.0
base__ecfp_1460,0.0
base__ecfp_1473,0.0
base__ecfp_1469,0.0
base__ecfp_1461,0.0
base__ecfp_98,0.0
base__ecfp_1478,0.0
base__ecfp_1479,0.0
base__ecfp_1560,0.0
base__ecfp_1559,0.0
base__ecfp_1558,0.0
base__ecfp_1557,0.0
base__ecfp_1556,0.0
base__ecfp_1555,0.0
base__ecfp_1554,0.0
base__ecfp_1553,0.0
base__ecfp_1552,0.0
base__ecfp_1551,0.0
base__ecfp_1550,0.0
base__ecfp_1549,0.0
base__ecfp_1548,0.0
base__ecfp_1547,0.0
base__ecfp_1546,0.0
base__ecfp_1545,0.0
base__ecfp_1543,0.0
base__ecfp_1542,0.0
base__ecfp_1541,0.0
base__ecfp_1540,0.0
base__ecfp_1539,0.0
base__ecfp_1538,0.0
base__ecfp_1537,0.0
base__ecfp_1561,0.0
base__ecfp_1562,0.0
base__ecfp_1563,0.0
base__ecfp_1577,0.0
base__ecfp_1588,0.0
base__ecfp_1586,0.0
base__ecfp_1585,0.0
base__ecfp_1584,0.0
base__ecfp_1583,0.0
base__ecfp_1582,0.0
base__ecfp_1581,0.0
base__ecfp_1580,0.0
base__ecfp_1579,0.0
base__ecfp_1578,0.0
base__ecfp_1576,0.0
base__ecfp_1564,0.0
base__ecfp_1574,0.0
base__ecfp_1573,0.0
base__ecfp_1572,0.0
base__ecfp_1571,0.0
base__ecfp_1570,0.0
base__ecfp_1569,0.0
base__ecfp_1568,0.0
base__ecfp_1567,0.0
base__ecfp_1566,0.0
base__ecfp_1565,0.0
base__ecfp_1536,0.0
base__ecfp_1535,0.0
base__ecfp_1533,0.0
base__ecfp_1493,0.0
base__ecfp_1505,0.0
base__ecfp_1503,0.0
base__ecfp_45,0.0
base__ecfp_1501,0.0
base__ecfp_1500,0.0
base__ecfp_1499,0.0
base__ecfp_1498,0.0
base__ecfp_1497,0.0
base__ecfp_1496,0.0
base__ecfp_1494,0.0
base__ecfp_1491,0.0
base__ecfp_1507,0.0
base__ecfp_1490,0.0
