species,canonical_smiles,status,how
lig_165,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,ok,ETKDGv3 + MMFF94s
lig_166,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,ok,ETKDGv3 + MMFF94s
lig_167,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCc5ccccc54)nc3c2n1)N1CCc2ccccc21,ok,ETKDGv3 + MMFF94s
lig_168,O=C(c1cccc(C(=O)N2CCCC2)n1)N1CCCC1,ok,ETKDGv3 + MMFF94s
lig_169,O=C(c1ccccc1)c1ccc2ccccc2n1,ok,ETKDGv3 + MMFF94s
lig_170,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,ok,ETKDGv3 + MMFF94s
lig_171,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,ok,ETKDGv3 + MMFF94s
lig_172,S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,ok,ETKDGv3 + MMFF94s
lig_173,S=P(S)(c1ccccc1Cl)c1ccccc1Cl,ok,ETKDGv3 + MMFF94s
lig_174,c1cc(-n2cccn2)nc(-n2cccn2)c1,ok,ETKDGv3 + MMFF94s
lig_175,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,ok,ETKDGv3 + MMFF94s
lig_176,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,ok,ETKDGv3 + MMFF94s
