adapter,k,n_ligands,mae,baseline_mae,delta,ci_low,ci_high,win_rate,beats_baseline,baseline
CNPRES_shrinkage,3,140,0.6015018074107562,0.5211208272584841,0.080380980152272,0.06475610042408148,0.09698459280217579,0.16428571428571428,False,OFFSET_K3
CNPRES_absolute_x,3,140,0.6059698282439553,0.5211208272584841,0.08484900098547125,0.06908863106206663,0.10181806227675709,0.11428571428571428,False,OFFSET_K3
CNPRES_ligand_recovered,3,140,0.6064841721948185,0.5211208272584841,0.0853633449363344,0.07002717727350613,0.10231934206922154,0.12857142857142856,False,OFFSET_K3
CNPRES_ligand,3,140,0.6279950181474401,0.5211208272584841,0.10687419088895599,0.08741248820439593,0.126565726078741,0.07857142857142857,False,OFFSET_K3
CNPRES_attentive,3,140,0.6356009159558649,0.5211208272584841,0.11448008869738072,0.09277331127905696,0.13796912917504903,0.08571428571428572,False,OFFSET_K3
NO_MODEL,3,140,0.7209086135319345,0.5211208272584841,0.1997877862734502,0.15200708565665288,0.2491283801652232,0.22142857142857142,False,OFFSET_K3
CNP_conditions_only,3,140,0.8309992874460886,0.5211208272584841,0.3098784601876045,0.2634221738158497,0.3577208967965971,0.08571428571428572,False,OFFSET_K3
CNP_ligand,3,140,0.9991020947558358,0.5211208272584841,0.47798126749735165,0.4110940048788565,0.5468347220400728,0.06428571428571428,False,OFFSET_K3
ZERO_SHOT,3,140,0.9991663422152525,0.5211208272584841,0.4780455149567685,0.3765196132236022,0.5863737649093178,0.1,False,OFFSET_K3
CNP_ligand_recovered,3,140,1.12591051780209,0.5211208272584841,0.6047896905436061,0.5264468854163313,0.6836128683104437,0.03571428571428571,False,OFFSET_K3
OFFSET_K3,5,99,0.5048182648956893,0.5048182648956893,0.0,0.0,0.0,0.0,False,OFFSET_K3
OFFSET_K2,5,99,0.5572031369107958,0.5048182648956893,0.05238487201510658,0.03385769237870145,0.074984286771126,0.31313131313131315,False,OFFSET_K3
NEAREST_OBSERVED,5,99,0.5624629477678672,0.5048182648956893,0.057644682872177944,0.023629513037767825,0.09732479275815227,0.37373737373737376,False,OFFSET_K3
OFFSET_K1,5,99,0.6206545029074033,0.5048182648956893,0.11583623801171405,0.09232177920036876,0.14051583131240883,0.13131313131313133,False,OFFSET_K3
CNPRES_conditions_only,5,99,0.6210001067855202,0.5048182648956893,0.11618184188983102,0.09399811801501497,0.13861384733999327,0.08080808080808081,False,OFFSET_K3
CNPRES_shrinkage,5,99,0.6218281368975902,0.5048182648956893,0.11700987200190095,0.09249164769059232,0.14305237223552225,0.1414141414141414,False,OFFSET_K3
CNPRES_absolute_x,5,99,0.6244365854660157,0.5048182648956893,0.11961832057032654,0.09637468116084104,0.14422677724037036,0.12121212121212122,False,OFFSET_K3
CNPRES_ligand_recovered,5,99,0.6264926757844869,0.5048182648956893,0.12167441088879777,0.09755661156477502,0.14833754414258413,0.1111111111111111,False,OFFSET_K3
