regime,comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_worse_one_sided,groups_improved,groups_total,bootstrap_unit,bootstrap_resample_unit,bootstrap_blocks,bootstrap_replicates
unseen_chemotype,A_metal_vs_MC,A_metal,MC,0.22284113185419718,0.07203836704508765,0.3633452739258787,0.0021995600879824036,49,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_MC_physchem,A_metal,MC_physchem,0.27979103770913893,0.12767847518568667,0.4494588368420432,0.0009998000399920016,52,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_MC_ecfp,A_metal,MC_ecfp,0.3132074818357063,0.09911183624941419,0.45403367765741354,0.002599480103979204,52,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_MC_lig2d_ext,A_metal,MC_lig2d_ext,0.3325582293148674,0.18157454083482621,0.47690668720770263,0.0001999600079984003,59,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_MC_donors,A_metal,MC_donors,0.33960641548986653,0.17014724529886419,0.47715959688113196,0.0001999600079984003,59,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_MC_complex_phys,A_metal,MC_complex_phys,0.2476881230054716,0.13231329089493835,0.3730942963225117,0.0003999200159968006,57,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_MC_polyhedron,A_metal,MC_polyhedron,0.2559809038583462,0.12798975693350348,0.35781853037097094,0.0001999600079984003,55,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_MC_all2d,A_metal,MC_all2d,0.30190786892967536,0.13693629989965858,0.43274742038993114,0.0011997600479904018,59,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_MC_all3d,A_metal,MC_all3d,0.26158367348089706,0.1283389657469905,0.3741522297667045,0.0003999200159968006,57,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,A_metal_vs_MC_everything,A_metal,MC_everything,0.2985844689863177,0.13383482064095606,0.43401078904170476,0.0011997600479904018,60,74,ecfp_cluster,tanimoto_cluster,40,5000
