extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,fold_id,fold_ordinal
CCCCCCCCN(CCCCCCCC)C(=O)CCC,0.85428,-1.4334,0.174822,0.409751,-0.309118,-0.640394,-1.52958,-0.571714,10,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCC,1.25125,-2.05294,0.34689,0.796353,-1.18873,-0.978274,-1.44639,-0.130371,34,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC,0.776487,-0.289483,1.19643,0.400655,-0.151783,-1.85247,-0.87956,-1.94061,4,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)CN(C)CC(=O)N(CCCCCCCC)CCCCCCCC,-0.813194,-0.412789,-0.822812,0.0966021,-1.12286,1.55683,-3.35864,2.3231,25,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)C(C)=O,0.686568,1.22996,0.56017,-0.377894,-0.0800203,-1.85644,-1.57178,-1.36288,4,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,-0.394161,1.60031,-0.144794,0.45509,-1.92051,0.849152,-4.13084,2.06833,58,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)Cc1ccccc1,-0.59528,0.8384,0.734758,1.32565,-0.0722669,-0.15621,-2.75969,1.09184,4,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,0.286517,-0.209838,0.852745,0.693028,8.08239e-05,-0.853246,-2.37105,0.442979,4,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,-1.35601,-1.97906,0.520221,1.18739,-1.13888,1.39808,-2.09776,-0.459129,4,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,1.63603,2.97516,0.367779,1.65424,-3.69647,0.299401,-1.71128,0.941644,12,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,2.67516,3.36536,0.645261,1.12092,-3.22882,0.354042,-1.16515,1.52979,12,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)CO,-1.18657,0.353112,-1.59161,3.35949,-1.84145,-0.227764,0.812566,0.319497,20,s104729_S_b004,4
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,0.171351,0.972475,0.49183,0.602186,1.03638,-0.892923,0.520095,-0.841849,24,s104729_S_b004,4
