global_model,arm,k,mae,n_ligands
GEN9_A0_ROW_ONLY,ZERO_SHOT@D_OPTIMAL,5,1.059866963000906,99
GEN9_A0_ROW_ONLY,ZERO_SHOT@MEDOID,1,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@MEDOID,2,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@MEDOID,3,1.0023329256464428,140
GEN9_A0_ROW_ONLY,ZERO_SHOT@MEDOID,5,1.059866963000906,99
GEN9_A0_ROW_ONLY,ZERO_SHOT@ORACLE[OFFSET_K1],1,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@ORACLE[OFFSET_K1],2,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@ORACLE[OFFSET_K1],3,1.0023329256464428,140
GEN9_A0_ROW_ONLY,ZERO_SHOT@ORACLE[OFFSET_K1],5,1.059866963000906,99
GEN9_A0_ROW_ONLY,ZERO_SHOT@RANDOM,1,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@RANDOM,2,0.999988414620485,143
GEN9_A0_ROW_ONLY,ZERO_SHOT@RANDOM,3,1.0023329256464428,140
GEN9_A0_ROW_ONLY,ZERO_SHOT@RANDOM,5,1.059866963000906,99
GEN9_X_MULTI_d8c,NEAREST_OBSERVED@CENTRAL,1,0.7575156334349555,143
GEN9_X_MULTI_d8c,NEAREST_OBSERVED@CENTRAL,2,0.6934242213120548,143
GEN9_X_MULTI_d8c,NEAREST_OBSERVED@CENTRAL,3,0.6147843772570644,140
