seed,fold,model,mae,macro_mae,n_test,r2
155921,1,3NN_donors,1.1580378965011286,1.1102568716801204,22,0.012960726056446603
155921,1,5NN_donors,1.1207780374705971,1.0725593405275158,22,0.02700093484038424
155921,1,KERNEL_donors,1.1178441051299044,1.0703206954820677,22,0.0370083106852781
155921,1,RIDGE_mech,1.1325424805852042,1.0888699900439291,22,0.010407365749321218
155921,1,ET_mech,1.1055264643483975,1.0218367574223703,22,-0.006474599367372935
155921,1,RIDGE_donors,1.112355595531052,1.0645767927580225,22,0.042965137587022806
155921,1,ET_donors,1.086606611071222,1.0318497723983195,22,0.07266771670889238
155921,2,NULL_global_mean,1.2664394317514776,1.2058722388875156,20,0.0
155921,2,1NN_tanimoto,1.1838244179569695,1.0742315314483775,20,0.061556430475759316
155921,2,3NN_tanimoto,1.1587264036324485,1.0944850433708564,20,0.1485713704343975
155921,2,5NN_tanimoto,1.2199319357685972,1.1571002569067421,20,0.06772525445416877
155921,2,KERNEL_tanimoto,1.2527191764080692,1.1897471611605743,20,0.008300088945055517
155921,2,1NN_mechanism,1.1396122219782032,1.0737316923248819,20,0.14163401683683075
155921,2,3NN_mechanism,1.1736201130479471,1.1126588327756497,20,0.10288896179758245
155921,2,5NN_mechanism,1.1867711107491972,1.122735903157843,20,0.109398865154411
155921,2,KERNEL_mechanism,1.2167118457904715,1.152020394908615,20,0.044805222813086854
155921,2,1NN_donors,1.1779565995387844,1.1146564552089342,20,0.07232903272763314
155921,2,3NN_donors,1.128153608335158,1.0581454884459298,20,0.14810828036646384
155921,2,5NN_donors,1.160755561431928,1.0929807829713385,20,0.0911935368018515
155921,2,KERNEL_donors,1.1660714211941432,1.0973701554699204,20,0.09756921681490616
155921,2,RIDGE_mech,1.2256108403552726,1.1632203002462063,20,0.048014799756530446
155921,2,ET_mech,1.072943072210444,1.0084059676578576,20,0.2462662208625389
155921,2,RIDGE_donors,1.1252915191036301,1.055797329204111,20,0.1101427940684685
155921,2,ET_donors,1.0960372459629844,1.022526573601594,20,0.16356649110847232
155921,3,NULL_global_mean,1.1284364705176522,1.1284364705176524,19,0.0
155921,3,1NN_tanimoto,0.9002066262636038,0.9002066262636038,19,0.4395189698384332
155921,3,3NN_tanimoto,1.0665968419544545,1.0665968419544547,19,0.15247662645846793
155921,3,5NN_tanimoto,1.1015025946229282,1.101502594622928,19,0.0989762922670967
155921,3,KERNEL_tanimoto,1.1299084909969417,1.1299084909969417,19,0.004999714585055992
155921,3,1NN_mechanism,0.9524389405688382,0.9524389405688383,19,0.3994973635201359
155921,3,3NN_mechanism,0.994708405094309,0.994708405094309,19,0.23109423257038508
155921,3,5NN_mechanism,1.0672634900079445,1.0672634900079443,19,0.11386488982853527
155921,3,KERNEL_mechanism,1.1066827766569698,1.10668277665697,19,0.065239605777893
155921,3,1NN_donors,1.004600191702737,1.0046001917027372,19,0.3563662246237892
155921,3,3NN_donors,1.1099848030597237,1.1099848030597237,19,0.111606792537156
155921,3,5NN_donors,1.094822488431742,1.0948224884317421,19,0.11401323867260715
155921,3,KERNEL_donors,1.0250803185754982,1.0250803185754982,19,0.3375985788875612
155921,3,RIDGE_mech,1.1202221785100923,1.120222178510092,19,0.023534845955385353
155921,3,ET_mech,0.9756591589917482,0.9756591589917482,19,0.24256633729085864
155921,3,RIDGE_donors,1.1222807019624919,1.1222807019624919,19,0.019421859519760276
155921,3,ET_donors,1.085686721921142,1.085686721921142,19,0.13633872637707134
155921,4,NULL_global_mean,0.9874555565696685,0.9654593117410073,35,0.0
155921,4,1NN_tanimoto,0.8490020225538149,0.8314250922641995,35,0.2585324283239039
155921,4,3NN_tanimoto,0.8493729515624268,0.8308741959498971,35,0.30668302065768915
155921,4,5NN_tanimoto,0.901525405656415,0.8886988717815689,35,0.1980034763404389
155921,4,KERNEL_tanimoto,0.9693320842876947,0.9520480373621495,35,0.034431058410182125
155921,4,1NN_mechanism,0.8744507018811487,0.8637091734550875,35,0.27513885555193796
155921,4,3NN_mechanism,0.8741755007750308,0.8755716101081402,35,0.3078371888589593
155921,4,5NN_mechanism,0.8490465501642517,0.865183906065176,35,0.3326568054536293
155921,4,KERNEL_mechanism,0.9389794660771265,0.9168075325438523,35,0.10505924925434429
155921,4,1NN_donors,0.8494495356011769,0.8258018711327374,35,0.3138114293606882
155921,4,3NN_donors,0.8267333673912132,0.8195500632388091,35,0.2849458731588408
155921,4,5NN_donors,0.9007326233317671,0.8852331087198224,35,0.16282876503521693
155921,4,KERNEL_donors,0.8998507878363919,0.8736249938342591,35,0.19104331587053514
155921,4,RIDGE_mech,0.9652083194345258,0.9408809557591822,35,0.06141943448375875
155921,4,ET_mech,0.8608693045829094,0.8539253521548211,35,0.3008838866263126
155921,4,RIDGE_donors,0.9445788205157258,0.9200633555407942,35,0.11289697351017636
155921,4,ET_donors,0.9351740286896936,0.9146573464129617,35,0.20227210798232165
196613,0,NULL_global_mean,1.0401273702894873,1.0513187897727816,64,0.0
196613,0,1NN_tanimoto,0.9538996754502829,0.9460214276380509,64,0.117136657449042
196613,0,3NN_tanimoto,0.9140385179233741,0.966267909907153,64,0.2066604758289018
196613,0,5NN_tanimoto,0.9587572197414874,0.9952602828110119,64,0.13543875835256824
196613,0,KERNEL_tanimoto,1.0304630265683352,1.0441804301664253,64,0.011340437181749818
